feedback_id,created_at,source,customer_id,customer_segment,product_area,feedback_text,rating,app_version,region,monthly_revenue,label,sentiment_label,severity_label
FB-0022,2026-05-01,Support Ticket,CUST-1169,Mid-Market,Payments,My payment failed after I entered the OTP.,3,4.0.0,United Kingdom,30004,Payment Failure,Negative,Critical
FB-0048,2026-05-01,Survey,CUST-1220,Mid-Market,Reporting,Please add an option to export invoices to Excel.,4,4.0.0,United States,60014,Invoice Export,Neutral,Medium
FB-0332,2026-05-01,Sales Note,CUST-1348,Free,Authentication,Biometric login stopped working after the update.,1,4.0.0,India,0,Login Problem,Negative,High
FB-0351,2026-05-01,Feature Request,CUST-1186,Enterprise,Payments,The app crashed while I was paying by card.,1,4.0.0,United Kingdom,139108,Payment Failure,Negative,Critical
FB-0518,2026-05-01,Sales Note,CUST-1003,Mid-Market,Dashboard,The analytics screen needs clearer filters.,4,4.0.0,United Kingdom,52879,Dashboard Usability,Neutral,Low
FB-0076,2026-05-02,Feature Request,CUST-1284,SMB,Reporting,We need bulk invoice downloads for accounting.,4,4.1.0,Singapore,5954,Invoice Export,Neutral,Medium
FB-0121,2026-05-02,Survey,CUST-1299,Free,Refunds,Support confirmed a refund but I have not received it.,2,4.1.0,India,0,Refund Delay,Negative,High
FB-0215,2026-05-02,Feature Request,CUST-1187,SMB,Integrations,Please add an integration with our accounting software.,5,4.1.0,India,6333,Integration Request,Positive,Medium
FB-0386,2026-05-02,Survey,CUST-1055,SMB,Refunds,My refund has not arrived after ten days.,1,4.1.0,Singapore,3110,Refund Delay,Negative,High
FB-0445,2026-05-02,Survey,CUST-1224,Mid-Market,Integrations,We would like API support for transaction reconciliation.,4,4.1.0,United States,26175,Integration Request,Positive,Medium
FB-0534,2026-05-02,Feature Request,CUST-1344,SMB,Dashboard,Please allow us to customize dashboard widgets.,3,4.0.0,UAE,6706,Dashboard Usability,Neutral,Low
FB-0574,2026-05-02,Sales Note,CUST-1079,Mid-Market,General,Customer support resolved my problem quickly.,4,4.1.0,United Kingdom,60270,Positive Experience,Positive,Low
